,path,image_name,rock_type,scan_name,label_assigned,area,centroid,bbox,bbox_rect
0,./train/cuttings_resized_128/ML-DB-Geo1_slice00371_0.png,ML-DB-Geo1_slice00371_0,0,slice00371,0,12346,"(64.81572979102543, 117.54665478697554)","[52, 497, 202, 738]","[[716, 225], [490, 75], [532, 11], [758, 160]]"
1,./train/cuttings_resized_128/ML-DB-Geo1_slice00371_2.png,ML-DB-Geo1_slice00371_2,0,slice00371,2,8372,"(109.22957477305303, 53.66782130912566)","[182, 444, 382, 564]","[[522, 391], [417, 203], [461, 178], [566, 367]]"
2,./train/cuttings_resized_128/ML-DB-Geo1_slice00371_5.png,ML-DB-Geo1_slice00371_5,0,slice00371,5,8535,"(75.36801405975396, 54.229759812536614)","[204, 373, 353, 486]","[[443, 373], [352, 235], [410, 196], [501, 334]]"
3,./train/cuttings_resized_128/ML-DB-Geo1_slice00371_6.png,ML-DB-Geo1_slice00371_6,0,slice00371,6,34857,"(189.85185185185185, 107.70218320566887)","[219, 178, 580, 417]","[[330, 597], [130, 275], [233, 210], [433, 533]]"
4,./train/cuttings_resized_128/ML-DB-Geo1_slice00371_11.png,ML-DB-Geo1_slice00371_11,0,slice00371,11,42058,"(178.36642255932284, 108.15371629654287)","[427, 40, 743, 306]","[[157, 793], [-29, 513], [125, 410], [311, 690]]"
5,./train/cuttings_resized_128/ML-DB-Geo1_slice00375_0.png,ML-DB-Geo1_slice00375_0,0,slice00375,0,13627,"(67.48968958684964, 125.8802377632641)","[51, 495, 204, 749]","[[725, 228], [488, 74], [530, 9], [767, 163]]"
6,./train/cuttings_resized_128/ML-DB-Geo1_slice00375_4.png,ML-DB-Geo1_slice00375_4,0,slice00375,4,36917,"(192.4288810033318, 103.89917923991656)","[215, 184, 580, 422]","[[334, 596], [130, 272], [235, 206], [440, 530]]"
7,./train/cuttings_resized_128/ML-DB-Geo1_slice00375_5.png,ML-DB-Geo1_slice00375_5,0,slice00375,5,30331,"(115.84563647753124, 130.01556163660942)","[221, 571, 454, 853]","[[607, 479], [531, 384], [793, 175], [869, 271]]"
8,./train/cuttings_resized_128/ML-DB-Geo1_slice00375_6.png,ML-DB-Geo1_slice00375_6,0,slice00375,6,43808,"(179.51584185536888, 112.4470872899927)","[425, 41, 742, 318]","[[178, 804], [-38, 535], [110, 414], [328, 683]]"
9,./train/cuttings_resized_128/ML-DB-Geo1_slice00375_7.png,ML-DB-Geo1_slice00375_7,0,slice00375,7,12726,"(89.86311488291686, 50.37262297658337)","[457, 844, 655, 950]","[[912, 658], [834, 643], [873, 444], [951, 459]]"
