,path,rock_type,image_name,best_model_0,best_model_time_0,best_model_1,best_model_time_1,best_model_2,best_model_time_2,best_model_3,best_model_time_3,best_model_4,best_model_time_4
0,./test_new/cuttings_resized_128/ML-V1_slice00120_1.png,0,ML-V1_slice00120_1,2,1.13613,2,0.01275,2,0.0059700000000000005,2,0.005229999999999999,2,0.00496
1,./test_new/cuttings_resized_128/ML-V1_slice00120_3.png,0,ML-V1_slice00120_3,2,0.01296,2,0.00099,2,0.00399,2,0.005,2,0.004
2,./test_new/cuttings_resized_128/ML-V1_slice00150_0.png,0,ML-V1_slice00150_0,2,0.004,2,0.004,2,0.006,2,0.008029999999999999,2,0.00308
3,./test_new/cuttings_resized_128/ML-V1_slice00170_0.png,0,ML-V1_slice00170_0,2,0.00404,2,0.004,2,0.00506,2,0.00496,2,0.008
4,./test_new/cuttings_resized_128/ML-V1_slice00170_3.png,0,ML-V1_slice00170_3,2,0.0075400000000000016,2,0.00797,2,0.005,2,0.006999999999999999,2,0.004
5,./test_new/cuttings_resized_128/ML-V1_slice00200_2.png,0,ML-V1_slice00200_2,2,0.00801,2,0.00799,2,0.00701,2,0.00808,2,0.00703
6,./test_new/cuttings_resized_128/ML-V1_slice00210_3.png,0,ML-V1_slice00210_3,2,0.004,2,0.004,2,0.005,2,0.005,2,0.00396
7,./test_new/cuttings_resized_128/ML-V1_slice00230_0.png,0,ML-V1_slice00230_0,2,0.00499,2,0.00504,2,0.00601,2,0.006999999999999999,2,0.00801
8,./test_new/cuttings_resized_128/ML-V1_slice00240_3.png,0,ML-V1_slice00240_3,2,0.005,2,0.004,2,0.006999999999999999,0,0.008,2,0.00691
9,./test_new/cuttings_resized_128/ML-V1_slice00270_3.png,0,ML-V1_slice00270_3,2,0.00545,2,0.00395,2,0.006509999999999999,2,0.00602,2,0.00703
10,./test_new/cuttings_resized_128/ML-V1_slice00270_4.png,0,ML-V1_slice00270_4,2,0.00801,2,0.00703,2,0.004,2,0.008,2,0.008
11,./test_new/cuttings_resized_128/ML-V1_slice00270_5.png,0,ML-V1_slice00270_5,3,0.004,3,0.005,3,0.006999999999999999,3,0.006999999999999999,2,0.005
12,./test_new/cuttings_resized_128/ML-V1_slice00300_1.png,0,ML-V1_slice00300_1,2,0.005529999999999999,2,0.00797,2,0.006,2,0.005,2,0.00802
13,./test_new/cuttings_resized_128/ML-V1_slice00300_3.png,0,ML-V1_slice00300_3,2,0.01031,2,0.004,2,0.006,2,0.005,2,0.006
14,./test_new/cuttings_resized_128/ML-V1_slice00310_0.png,0,ML-V1_slice00310_0,2,0.004,2,0.004,2,0.006,2,0.006999999999999999,2,0.008
15,./test_new/cuttings_resized_128/ML-V1_slice00310_1.png,0,ML-V1_slice00310_1,2,0.006999999999999999,2,0.00447,2,0.004,2,0.006,0,0.007
16,./test_new/cuttings_resized_128/ML-V1_slice00320_0.png,0,ML-V1_slice00320_0,2,0.005,2,0.004,2,0.006999999999999999,2,0.006999999999999999,2,0.00788
17,./test_new/cuttings_resized_128/ML-V1_slice00320_5.png,0,ML-V1_slice00320_5,3,0.004,2,0.004,2,0.006999999999999999,2,0.008,2,0.008
18,./test_new/cuttings_resized_128/ML-V1_slice00340_0.png,0,ML-V1_slice00340_0,2,0.00603,2,0.00303,2,0.008,2,0.006999999999999999,2,0.008
19,./test_new/cuttings_resized_128/ML-V1_slice00340_1.png,0,ML-V1_slice00340_1,2,0.00499,2,0.004,2,0.006999999999999999,2,0.006,2,0.005
20,./test_new/cuttings_resized_128/ML-V1_slice00340_5.png,0,ML-V1_slice00340_5,2,0.006,2,0.004,2,0.00394,3,0.005,2,0.008
21,./test_new/cuttings_resized_128/ML-V1_slice00350_0.png,0,ML-V1_slice00350_0,2,0.005,2,0.004,2,0.005,2,0.008,2,0.006
22,./test_new/cuttings_resized_128/ML-V1_slice00350_2.png,0,ML-V1_slice00350_2,2,0.004,2,0.005679999999999999,0,0.00801,0,0.0069900000000000006,0,0.007
23,./test_new/cuttings_resized_128/ML-V1_slice00350_5.png,0,ML-V1_slice00350_5,2,0.00496,2,0.0040100000000000005,3,0.00607,3,0.008,2,0.007
24,./test_new/cuttings_resized_128/ML-V1_slice00360_0.png,0,ML-V1_slice00360_0,2,0.005,2,0.004,2,0.00801,2,0.009559999999999999,2,0.009
25,./test_new/cuttings_resized_128/ML-V1_slice00360_1.png,0,ML-V1_slice00360_1,2,0.00399,2,0.00607,2,0.004,2,0.007379999999999999,2,0.006
26,./test_new/cuttings_resized_128/ML-V1_slice00360_6.png,0,ML-V1_slice00360_6,2,0.004,2,0.008,2,0.004,2,0.00663,2,0.006
27,./test_new/cuttings_resized_128/ML-V1_slice00370_2.png,0,ML-V1_slice00370_2,2,0.005,2,0.004,2,0.00502,2,0.009009999999999999,2,0.006
28,./test_new/cuttings_resized_128/ML-V1_slice00370_6.png,0,ML-V1_slice00370_6,3,0.008,2,0.008,3,0.008029999999999999,3,0.00399,3,0.006
29,./test_new/cuttings_resized_128/ML-V1_slice00380_0.png,0,ML-V1_slice00380_0,2,0.005,2,0.004,2,0.00403,2,0.008,2,0.008
30,./test_new/cuttings_resized_128/ML-V1_slice00380_1.png,0,ML-V1_slice00380_1,2,0.004,2,0.008,2,0.00397,0,0.00891,0,0.008
31,./test_new/cuttings_resized_128/ML-V1_slice00380_4.png,0,ML-V1_slice00380_4,2,0.004,2,0.008,2,0.00801,2,0.00657,2,0.008
32,./test_new/cuttings_resized_128/ML-V1_slice00380_6.png,0,ML-V1_slice00380_6,2,0.004,2,0.004,2,0.00796,2,0.008,2,0.008
33,./test_new/cuttings_resized_128/ML-V1_slice00390_6.png,0,ML-V1_slice00390_6,2,0.00399,0,0.008,2,0.00795,2,0.00454,0,0.006
34,./test_new/cuttings_resized_128/ML-V1_slice00400_0.png,0,ML-V1_slice00400_0,2,0.004,2,0.008,2,0.00864,2,0.004,2,0.005
35,./test_new/cuttings_resized_128/ML-V1_slice00400_4.png,0,ML-V1_slice00400_4,2,0.0039,2,0.004,2,0.00799,2,0.004,2,0.007
36,./test_new/cuttings_resized_128/ML-V1_slice00400_5.png,0,ML-V1_slice00400_5,2,0.006999999999999999,2,0.00398,2,0.00504,2,0.006999999999999999,2,0.005
37,./test_new/cuttings_resized_128/ML-V1_slice00410_1.png,0,ML-V1_slice00410_1,2,0.00399,2,0.009470000000000001,2,0.006999999999999999,2,0.00659,2,0.005
38,./test_new/cuttings_resized_128/ML-V1_slice00420_1.png,0,ML-V1_slice00420_1,4,0.006,2,0.00399,2,0.00703,0,0.005,0,0.005
39,./test_new/cuttings_resized_128/ML-V1_slice00420_6.png,0,ML-V1_slice00420_6,2,0.008,2,0.00604,2,0.008,2,0.005,2,0.00718
40,./test_new/cuttings_resized_128/ML-V1_slice00440_4.png,0,ML-V1_slice00440_4,2,0.006,2,0.0040100000000000005,2,0.00953,2,0.009059999999999999,2,0.00542
41,./test_new/cuttings_resized_128/ML-V1_slice00450_7.png,0,ML-V1_slice00450_7,3,0.005,2,0.004,2,0.0040100000000000005,2,0.00648,2,0.009
42,./test_new/cuttings_resized_128/ML-V1_slice00460_2.png,0,ML-V1_slice00460_2,4,0.006999999999999999,2,0.00602,2,0.00799,2,0.00855,2,0.008
43,./test_new/cuttings_resized_128/ML-V1_slice00460_9.png,0,ML-V1_slice00460_9,2,0.004,2,0.004,2,0.00504,2,0.008,2,0.008
44,./test_new/cuttings_resized_128/ML-V1_slice00470_0.png,0,ML-V1_slice00470_0,2,0.004,2,0.00399,2,0.00399,2,0.00799,2,0.008
45,./test_new/cuttings_resized_128/ML-V1_slice00470_4.png,0,ML-V1_slice00470_4,4,0.004,2,0.0040100000000000005,2,0.008,2,0.004,2,0.008
46,./test_new/cuttings_resized_128/ML-V1_slice00470_6.png,0,ML-V1_slice00470_6,2,0.00521,2,0.0020800000000000003,2,0.00903,2,0.00606,0,0.008
47,./test_new/cuttings_resized_128/ML-V1_slice00480_6.png,0,ML-V1_slice00480_6,2,0.00705,2,0.00496,2,0.00902,2,0.008,2,0.007
48,./test_new/cuttings_resized_128/ML-V1_slice00490_5.png,0,ML-V1_slice00490_5,0,0.005,2,0.009000000000000001,0,0.008,0,0.01199,2,0.007
49,./test_new/cuttings_resized_128/ML-V1_slice00500_2.png,0,ML-V1_slice00500_2,4,0.006999999999999999,2,0.00543,2,0.006999999999999999,2,0.01006,2,0.005
50,./test_new/cuttings_resized_128/ML-V1_slice00500_12.png,0,ML-V1_slice00500_12,2,0.00476,2,0.008,2,0.006999999999999999,2,0.008,2,0.009
51,./test_new/cuttings_resized_128/ML-V1_slice00510_0.png,0,ML-V1_slice00510_0,2,0.005,2,0.008,2,0.00704,2,0.00799,2,0.011
52,./test_new/cuttings_resized_128/ML-V1_slice00520_3.png,0,ML-V1_slice00520_3,2,0.006,2,0.004,2,0.01003,0,0.00398,2,0.008
53,./test_new/cuttings_resized_128/ML-V1_slice00520_4.png,0,ML-V1_slice00520_4,2,0.0059,2,0.00955,0,0.008,0,0.00799,0,0.009
54,./test_new/cuttings_resized_128/ML-V1_slice00530_0.png,0,ML-V1_slice00530_0,2,0.006,2,0.008,2,0.004,2,0.00801,2,0.006
55,./test_new/cuttings_resized_128/ML-V1_slice00530_1.png,0,ML-V1_slice00530_1,2,0.00399,2,0.00799,2,0.008,2,0.007109999999999999,2,0.008
56,./test_new/cuttings_resized_128/ML-V1_slice00540_0.png,0,ML-V1_slice00540_0,2,0.006999999999999999,2,0.01004,2,0.008,2,0.00799,2,0.00806
57,./test_new/cuttings_resized_128/ML-V1_slice00550_6.png,0,ML-V1_slice00550_6,2,0.004,2,0.0069900000000000006,2,0.0040100000000000005,2,0.00644,2,0.01001
58,./test_new/cuttings_resized_128/ML-V1_slice00550_8.png,0,ML-V1_slice00550_8,2,0.004,2,0.008,2,0.008,2,0.00805,2,0.006
59,./test_new/cuttings_resized_128/ML-V1_slice00570_10.png,0,ML-V1_slice00570_10,2,0.005,2,0.008,2,0.008,2,0.008,2,0.009
60,./test_new/cuttings_resized_128/ML-V1_slice00580_5.png,0,ML-V1_slice00580_5,2,0.006,2,0.00801,2,0.01005,2,0.006790000000000001,2,0.007
61,./test_new/cuttings_resized_128/ML-V1_slice00590_1.png,0,ML-V1_slice00590_1,2,0.006,2,0.004,2,0.008,2,0.00799,2,0.01
62,./test_new/cuttings_resized_128/ML-V1_slice00600_0.png,0,ML-V1_slice00600_0,2,0.006999999999999999,2,0.006999999999999999,2,0.008,2,0.01,4,0.00903
63,./test_new/cuttings_resized_128/ML-V1_slice00600_2.png,0,ML-V1_slice00600_2,2,0.006640000000000001,2,0.008,2,0.006959999999999999,2,0.01,2,0.012
64,./test_new/cuttings_resized_128/ML-V1_slice00600_4.png,0,ML-V1_slice00600_4,2,0.006999999999999999,2,0.0069900000000000006,2,0.012,2,0.01122,2,0.00691
65,./test_new/cuttings_resized_128/ML-V1_slice00610_12.png,0,ML-V1_slice00610_12,2,0.006999999999999999,2,0.008,2,0.005520000000000001,2,0.00884,2,0.004
66,./test_new/cuttings_resized_128/ML-V1_slice00630_5.png,0,ML-V1_slice00630_5,2,0.005,2,0.00799,2,0.008,2,0.00806,2,0.008
67,./test_new/cuttings_resized_128/ML-V1_slice00630_10.png,0,ML-V1_slice00630_10,2,0.004,2,0.008,2,0.0105,2,0.00799,2,0.00859
